question,correct,sp_precision,sp_recall,generated_answer,gold_answer,subquery_1,subquery_2,subquery_3,subquery_4,subanswer_1,subanswer_2,subanswer_3,subanswer_4,num_retrieved,num_gold,retrieved_1,retrieved_2,retrieved_3,retrieved_4,retrieved_5,retrieved_6,retrieved_7,retrieved_8,retrieved_9,retrieved_10,retrieved_11,retrieved_12,retrieved_13,retrieved_14,retrieved_15,retrieved_16,retrieved_17,retrieved_18,retrieved_19,retrieved_20,retrieved_21,retrieved_22,retrieved_23,retrieved_24,retrieved_25,retrieved_26,retrieved_27,retrieved_28,retrieved_29,retrieved_30,retrieved_31,gold_1,gold_2,gold_3,gold_4,gold_5
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",1,0.2308,1.0,Kansas Song (We’re From Kansas),Kansas Song,"The university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area is [ANSWER_1].",The name of the fight song of University of Kansas is [ANSWER_2].,,,University of Kansas,Kansas Song (We’re From Kansas),,,13,3,"The University of Kansas, often referred to as KU or Kansas, is a public research university in the U.S. state of Kansas.","The main campus in Lawrence, one of the largest college towns in Kansas, is on Mount Oread, the highest elevation in Lawrence.","Two branch campuses are in the Kansas City metropolitan area: the Edwards Campus in Overland Park, and the university's medical school and hospital in Kansas City.","There are also educational and research sites in Parsons, Topeka, Garden City, Hays, and Leavenworth, and branches of the medical school in Wichita and Salina.",The university is one of the 62 members of the Association of American Universities.,The University of Missouri–Kansas City (UMKC) is a public research university serving the greater Kansas City metropolitan area.,"Located in Kansas City, Missouri, UMKC is one of four system campuses that collectively constitute the University of Missouri.","UMKC is spread across multiple locales; the main Volker Campus, home to the majority of university operations, is located in Kansas City's Rockhill neighborhood, east of the Country Club Plaza, and adjacent to both the Stowers Institute for Medical Research and the world-renowned Linda Hall Library.","In 2017 the University, in collaboration with Truman Medical Center, Children's Mercy Hospital, the Missouri Health Department, the Jackson County Medical Examiners Office, and the Missouri Department of Mental Health Behavioral Medicine, formed the UMKC Health Sciences District on Hospital Hill.","This district is a first-in-the-nation partnership between local and state governments, the university, and these nationally recognized healthcare faculties, designed to promote collaboration in research, innovation, education, grant funding, and community outreach, for the advancement of health and wellness in the greater Kansas City metropolitan area.","Also in 2017, the university announced plans to expand its metropolitan identity with the construction of a downtown Campus for the Arts, located near the Kauffman Center for the Performing Arts.","The university's enrollment as of 2015 exceeded more than 16,600 students.",Kansas Song (We’re From Kansas) is a fight song of the University of Kansas.,,,,,,,,,,,,,,,,,,,Kansas Song (We’re From Kansas) is a fight song of the University of Kansas.,"The main campus in Lawrence, one of the largest college towns in Kansas, is on Mount Oread, the highest elevation in Lawrence.","Two branch campuses are in the Kansas City metropolitan area: the Edwards Campus in Overland Park, and the university's medical school and hospital in Kansas City.",,
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",0,0.4286,1.0,David Diamond,David Weissman,"The screenwriters credited for the film ""Evolution"" are [ANSWER_1].",The film starring Nicolas Cage and Téa Leoni that was co-written by one of Not listed. is [ANSWER_2].,The screenwriter from Not listed. who co-wrote The Family Man is [ANSWER_3].,,Not listed.,The Family Man,David Diamond,,7,3,David Weissman is a screenwriter and director.,"His film credits include ""The Family Man"" (2000), ""Evolution"" (2001), and """"When in Rome"""" (2010).","The Family Man is a 2000 American romantic comedy-drama film directed by Brett Ratner, written by David Diamond and David Weissman, and starring Nicolas Cage and Téa Leoni.","Cage's production company, Saturn Films, helped produce the film.",The film centers on a man who sees what could have been had he made a different decision 13 years prior.,"Gone in 60 Seconds is a 2000 American action heist film, starring Nicolas Cage, Angelina Jolie, Giovanni Ribisi, Christopher Eccleston, Robert Duvall, Vinnie Jones, and Will Patton.","The film was directed by Dominic Sena, written by Scott Rosenberg, and produced by Jerry Bruckheimer, producer of ""The Rock"" and ""Con Air"" (both of which starred Cage) and ""Armageddon"" (which starred Patton), and is a loose remake of the 1974 H.B. Halicki film of the same name.",,,,,,,,,,,,,,,,,,,,,,,,,David Weissman is a screenwriter and director.,"His film credits include ""The Family Man"" (2000), ""Evolution"" (2001), and """"When in Rome"""" (2010).","The Family Man is a 2000 American romantic comedy-drama film directed by Brett Ratner, written by David Diamond and David Weissman, and starring Nicolas Cage and Téa Leoni.",,
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1,0.2,1.0,1999,1999,The movie starring Arnold Schwarzenegger as a former New York Police detective is [ANSWER_1].,The year Guns N Roses performed a promo for End of Days is [ANSWER_2].,,,End of Days,November 1999,,,15,3,"Arnold Schwarzenegger is an actor who has appeared in over 30 films, and has also ventured into directing and producing.",He began his acting career primarily with small roles in film and television.,"For his first film role, he was credited as ""Arnold Strong"", but was credited with his birth name thereafter.","He has appeared mainly in action, and comedy films.","In addition to films and television, he has appeared in music videos for AC/DC, Bon Jovi, and Guns N' Roses.","End of Days is a 1999 American fantasy action horror thriller film directed by Peter Hyams and starring Arnold Schwarzenegger, Gabriel Byrne, Robin Tunney, Kevin Pollak, Rod Steiger, CCH Pounder, and Udo Kier.","The film follows former New York Police Department detective Jericho Cane (Schwarzenegger) after he saves a banker (Byrne) from an assassin, finds himself embroiled in a religious conflict, and must protect an innocent young woman (Tunney) who is chosen by evil forces to conceive the Antichrist with Satan.","""Oh My God"" is a song by Guns N' Roses released in 1999 on the soundtrack to the film ""End of Days"".",The song was sent out to radio stations in November 1999 as a promo for the soundtrack and the band.,"Despite being the band's first recorded release in almost five years, it was never issued as a stand-alone single for public retail.","Guns N' Roses is an American hard rock band formed in Los Angeles, California in 1985 by members of Hollywood Rose and L.A. Guns.","The band has released six studio albums, two live albums, two compilation albums, two extended plays, seven video albums, eighteen singles, twenty four music videos and one video single.","Guns N' Roses signed a deal with Geffen Records in 1986, after the independently released EP ""Live ?!","*@ Like a Suicide"" a year before.","Its debut studio album ""Appetite for Destruction"" was released in 1987, reached the top of the ""Billboard"" 200 and sold 18 million units in the United States and approximately 33 million units worldwide.",,,,,,,,,,,,,,,,,"""Oh My God"" is a song by Guns N' Roses released in 1999 on the soundtrack to the film ""End of Days"".",The song was sent out to radio stations in November 1999 as a promo for the soundtrack and the band.,"The film follows former New York Police Department detective Jericho Cane (Schwarzenegger) after he saves a banker (Byrne) from an assassin, finds himself embroiled in a religious conflict, and must protect an innocent young woman (Tunney) who is chosen by evil forces to conceive the Antichrist with Satan.",,
Are Random House Tower and 888 7th Avenue both used for real estate?,0,0.1667,1.0,Yes,no,The primary current use of the building known as Random House Tower is [ANSWER_1].,The primary current use of the building located at 888 7th Avenue is [ANSWER_2].,,,"""headquarters of book publisher Random House and a luxury apartment complex""",corporate headquarters,,,12,2,"The Random House Tower, also known as the Park Imperial Apartments, is a 52-story mixed-use tower in New York City, United States, that is used as the headquarters of book publisher Random House and a luxury apartment complex.","The book publisher entrance is on Broadway and goes up to 27 floors, while the apartment complex entrance is on West 56th Street.","The Carl B. Stokes Federal Court House Building is a skyscraper located in downtown Cleveland, Ohio.","It is also known as the Carl B. Stokes Federal Court House Tower, Federal Court House Tower, and the Stokes Tower.",The 23-story building is 430 ft tall and is located at the corner of Huron Road and Superior Avenue.,It is currently the fourth tallest United States courthouse in the country.,888 7th Avenue is a 628 ft (191m) tall modern-style office skyscraper in Midtown Manhattan which was completed in 1969 and has 46 floors.,"Emery Roth & Sons designed the building, which is tied with Central Park Place for the 65th tallest building in New York City.",It currently carries the Vornado Realty Trust corporate headquarters.,"Previously known as the Arlen Building, its namesake being the company responsible for its construction, Arlen Realty & Development Corporation.",The Red Eye Grill is located in the building at street level.,"Pershing Square Capital Management is an American hedge fund management company founded and run by Bill Ackman, located at 888 7th Avenue in New York.",,,,,,,,,,,,,,,,,,,,"The Random House Tower, also known as the Park Imperial Apartments, is a 52-story mixed-use tower in New York City, United States, that is used as the headquarters of book publisher Random House and a luxury apartment complex.",It currently carries the Vornado Realty Trust corporate headquarters.,,,
The football manager who recruited David Beckham managed Manchester United during what timeframe?,1,0.3333,1.0,1986 to 2013,from 1986 to 2013,The football manager who recruited David Beckham to Manchester United is [ANSWER_1].,The timeframe during which Alex Ferguson managed Manchester United is [ANSWER_2].,,,Alex Ferguson,1986 to 2013,,,9,3,"Sir Alexander Chapman Ferguson, CBE (born 31 December 1941) is a Scottish former football manager and player who managed Manchester United from 1986 to 2013.","He is regarded by many players, managers and analysts to be one of the greatest and most successful managers of all time.","The 1995–96 season was Manchester United's fourth season in the Premier League, and their 21st consecutive season in the top division of English football.",United finished the season by becoming the first English team to win the Double (league title and FA Cup) twice.,"Their triumph was made all the more remarkable by the fact that Alex Ferguson had sold experienced players Paul Ince, Mark Hughes and Andrei Kanchelskis before the start of the season, and not made any major signings.","Instead, he had drafted in young players like Nicky Butt, David Beckham, Paul Scholes and the Neville brothers, Gary and Phil.","Sir Alexander Matthew Busby, CBE, KCSG (26 May 1909 – 20 January 1994) was a Scottish football player and manager, who managed Manchester United between 1945 and 1969 and again for the second half of the 1970–71 season.",He is widely regarded as one of the greatest managers of all time.,His managerial records and longevity at the helm of Manchester United are surpassed only by Sir Alex Ferguson.,,,,,,,,,,,,,,,,,,,,,,,"Their triumph was made all the more remarkable by the fact that Alex Ferguson had sold experienced players Paul Ince, Mark Hughes and Andrei Kanchelskis before the start of the season, and not made any major signings.","Instead, he had drafted in young players like Nicky Butt, David Beckham, Paul Scholes and the Neville brothers, Gary and Phil.","Sir Alexander Chapman Ferguson, CBE (born 31 December 1941) is a Scottish former football manager and player who managed Manchester United from 1986 to 2013.",,
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,0,0.0645,1.0,331 million,"9,984",Brown State Fishing Lake is located in the state of [ANSWER_1].,The state of Kansas is located in the country of [ANSWER_2].,The population of U.S. is [ANSWER_3] inhabitants.,,Kansas,U.S.,Not in context.,,31,2,"Brown State Fishing Lake (sometimes also known as Brown State Fishing Lake And Wildlife Area) is a protected area in Brown County, Kansas in the United States.",The lake is 62 acres (0.25 km²) in area and up to 13 feet (4 m) deep.,"The area was formerly known as Brown County State Park, and is 8 miles (13 km) east of Hiawatha, Kansas.","Shawnee State Fishing Lake is approximately eight miles northwest of Topeka, Kansas, and is in northern Shawnee County, Kansas.","This lake is sometimes confused with Lake Shawnee, on the east side of Topeka.",It is a 135 acre surface area lake with a maximum depth of 25 ft .,"This is a manmade freshwater lake, which was constructed in the late 1960s.","The lake is widest at the dam, which is at the south end of the lake.",It can be reached by a number of roads.,The only asphalted road reaching it is on the southeast corner.,To the north is 94th Street and on the west side is Humphrey Road.,Brown County (county code BR) is a county located in the northeast portion of the U.S. state of Kansas.,"As of the 2010 census, the county population was 9,984.",Its county seat and most populous city is Hiawatha.,"Brown County is the location of the Kickapoo Indian Reservation of Kansas, the majority of the Sac and Fox Reservation and the majority of the Iowa Reservation of Kansas and Nebraska.","Osage State Fishing Lake is located in northern Osage County, Kansas.",It is a mile east of US 75.,"Scranton, Kansas, is to the lake's northwest and Overbrook, Kansas, is to the northeast.","Osage Lake is a freshwater man-made lake, constructed in 1955.","It has a surface area of 140 acres, The parkland in which the lake is contained has 366 acreas of land, mostly tall grass prairie with numerous wooded areas.",The lake is owned by the State of Kansas.,"Higgins Lake is a large recreational and fishing lake in Roscommon County, in the U.S. state of Michigan.","The 9,900 acre (40 km²) lake is known for its deep, clear waters and is the 10th largest in Michigan with a shoreline of 21 mi .","It is named after Sylvester Higgins, the first chief of the topographical department of the Michigan Geological Survey.",It has a maximum width of 4 mi and a length of 7 mi with a maximum depth of 135 ft .,The mean depth is 44 ft and the lake contains almost 20 billion cubic feet (570 million m³) of water.,Its retention time is about 12.5 years.,"The lake's watershed covers 19,000 acres (77 km²).","The twin-lobed lake receives half of its water from submerged springs, six percent from incoming streams, and the remainder from direct rainfall and runoff.",It drains into Marl Lake by the Cut River which runs into Houghton Lake and eventually to Lake Michigan.,"A mile north of the lake, water flows into the Lake Huron watershed.","Brown State Fishing Lake (sometimes also known as Brown State Fishing Lake And Wildlife Area) is a protected area in Brown County, Kansas in the United States.","As of the 2010 census, the county population was 9,984.",,,
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,0,0.2857,0.6667,America East Conference (formerly New England Collegiate Conference),the North Atlantic Conference,The Vermont Catamounts men's soccer team currently competes in the athletic conference named [ANSWER_1].,,,,America East Conference,,,,7,3,The Vermont Catamounts men's soccer team represents the University of Vermont in all NCAA Division I men's college soccer competitions.,The team competes in the America East Conference.,"The Vermont Catamounts Basketball team is the basketball team that represents the University of Vermont in Burlington, Vermont.",The school's team currently competes in the America East Conference and plays its home games at Patrick Gym.,"The team has reached the NCAA Division I Men's Basketball Tournament six times, in 2003, 2004, 2005, 2010, 2012, and 2017.",UVM famously upset Syracuse University in the first round of the 2005 tournament.,The Catamounts are coached by John Becker.,,,,,,,,,,,,,,,,,,,,,,,,,The Vermont Catamounts men's soccer team represents the University of Vermont in all NCAA Division I men's college soccer competitions.,The team competes in the America East Conference.,The conference was known as the Eastern College Athletic Conference-North from 1979 to 1988 and the North Atlantic Conference from 1988 to 1996.,,
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,1,0.2857,1.0,Yes,yes,The primary genre of musical composition for which Giuseppe Verdi is historically recognized is [ANSWER_1].,The primary genre of musical composition for which Ambroise Thomas is historically recognized is [ANSWER_2].,,,opera,operas,,,7,2,Giuseppe Fortunino Francesco Verdi (] ; 9 or 10 October 1813 – 27 January 1901) was an Italian opera composer.,"Giuseppe Verdi is a 1938 Italian biographical film directed by Carmine Gallone and starring Fosco Giachetti, Gaby Morlay and Germana Paolieri.",The film portrays the life of the composer Giuseppe Verdi (1813-1901).,"The casting of Giachetti as Verdi was intended to emphasise the composer's patriotism, as he had recently played patriotic roles in films such as ""The White Squadron"".",The film was made at the Cinecittà Studios in Rome.,The film is also known by the alternative title The Life of Giuseppe Verdi.,"Charles Louis Ambroise Thomas (5 August 1811 – 12 February 1896) was a French composer, best known for his operas ""Mignon"" (1866) and ""Hamlet"" (1868, after Shakespeare) and as Director of the Conservatoire de Paris from 1871 till his death.",,,,,,,,,,,,,,,,,,,,,,,,,Giuseppe Fortunino Francesco Verdi (] ; 9 or 10 October 1813 – 27 January 1901) was an Italian opera composer.,"Charles Louis Ambroise Thomas (5 August 1811 – 12 February 1896) was a French composer, best known for his operas ""Mignon"" (1866) and ""Hamlet"" (1868, after Shakespeare) and as Director of the Conservatoire de Paris from 1871 till his death.",,,
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,0,0.1429,1.0,1969–1974,1969 until 1974,Roger O. Egeberg served as Assistant Secretary for Health and Scientific Affairs under President [ANSWER_1].,The years during which President Nixon served in office are [ANSWER_2].,,,Nixon,1969 until 1974,,,14,2,"Roger Olaf Egeberg, M.D. (13 November 1902 – 13 September 1997 Washington, D.C.) was an American medical educator, administrator and advocate of public health.",He was General Douglas MacArthur's personal physician during World War II in the Pacific theater.,"His other roles included Assistant Secretary for Health and Scientific Affairs in the Department of Health, Education, and Welfare (now the United States Department of Health and Human Services) during the Nixon administration and Dean of the University of Southern California's medical school.",Rear Admiral Edward Dana Martin (MD) is the former Acting Assistant Secretary of Defense (Health Affairs).,"He was appointed to two terms, originally in 1993 and once again in 1997.","Martin served as the Secretary's principal advisor on matters related to the military health system, health.mil.",The Military Health System (MHS) mission is to provide optimal Health Services in support of the United States' military mission.,"The MHS is a unique partnership of medical educators, medical researchers, and healthcare providers and their support personnel worldwide.","This DoD enterprise consists of the Office of the Assistant Secretary of Defense (Health Affairs); the medical departments of the Army, Navy, Marine Corps, Air Force, Coast Guard, and Joint Chiefs of Staff; the Combatant Command surgeons; and TRICARE providers (including private sector healthcare providers, hospitals and pharmacies).","Richard Milhous Nixon (January 9, 1913 – April 22, 1994) was the 37th President of the United States from 1969 until 1974, when he resigned from office, the only U.S. president to do so.","He had previously served as the 36th Vice President of the United States from 1953 to 1961, and prior to that as a U.S. Representative and also Senator from California.","Douglas Joseph “Doug” Bennet, Jr. (born June 23, 1938) is a former national political official and college president.","He was the fifteenth president of Wesleyan University, in Middletown, Connecticut, from 1995 to 2007.","Before that, he served as Assistant Secretary of State for International Organization Affairs in the Clinton Administration (1993–95) and Assistant Secretary of State for Legislative Affairs in the Carter administration (1977–79), was the President and CEO of National Public Radio (1983–93), and ran the U.S. Agency for International Development under President Carter (1979–81).",,,,,,,,,,,,,,,,,,"His other roles included Assistant Secretary for Health and Scientific Affairs in the Department of Health, Education, and Welfare (now the United States Department of Health and Human Services) during the Nixon administration and Dean of the University of Southern California's medical school.","Richard Milhous Nixon (January 9, 1913 – April 22, 1994) was the 37th President of the United States from 1969 until 1974, when he resigned from office, the only U.S. president to do so.",,,
"Which writer was from England, Henry Roth or Robert Erskine Childers?",1,0.2857,1.0,Robert Erskine Childers,Robert Erskine Childers DSC,The country of birth of Henry Roth is [ANSWER_1].,The country of birth of Robert Erskine Childers is [ANSWER_2].,,,American,British,,,7,2,"Henry Roth (February 8, 1906 – October 13, 1995) was an American novelist and short story writer.","Robert Caesar Childers (1838 – 25 July 1876) was a British Orientalist scholar, compiler of the first Pāli-English dictionary.",Childers was the husband of Anna Barton of Ireland.,"He was the father of Irish nationalist Robert Erskine Childers and grandfather to the fourth President of Ireland, Erskine Hamilton Childers.","Robert Erskine Childers DSC (25 June 1870 – 24 November 1922), universally known as Erskine Childers, was a British writer, whose works included the influential novel ""The Riddle of the Sands"", and a Fenian revolutionary who smuggled guns to Ireland in his sailing yacht ""Asgard"".",He was executed by the authorities of the nascent Irish Free State during the Irish Civil War.,"He was the son of British Orientalist scholar Robert Caesar Childers; the cousin of Hugh Childers and Robert Barton; and the father of the fourth President of Ireland, Erskine Hamilton Childers.",,,,,,,,,,,,,,,,,,,,,,,,,"Henry Roth (February 8, 1906 – October 13, 1995) was an American novelist and short story writer.","Robert Erskine Childers DSC (25 June 1870 – 24 November 1922), universally known as Erskine Childers, was a British writer, whose works included the influential novel ""The Riddle of the Sands"", and a Fenian revolutionary who smuggled guns to Ireland in his sailing yacht ""Asgard"".",,,
Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,1,0.3,1.0,Pedro Rodríguez,Pedro Rodríguez,The Force India Formula One driver born in 1990 is [ANSWER_1].,The Mexican Formula One drivers who have achieved a podium finish are [ANSWER_2].,,,Sergio Pérez,"Pedro Rodríguez, Sergio Pérez",,,10,3,"The Force India VJM04 is a Formula One racing car developed by Force India for the 2011 Formula One season, the fourth car the team has made since entering the sport in 2008.",The car was driven by long-time Force India driver Adrian Sutil and 2010 Deutsche Tourenwagen Masters champion Paul di Resta.,The car was launched online on 8 February 2011.,"Sergio Pérez Mendoza (    ; born 26 January 1990) also known as ""Checo"" Pérez, is a Mexican racing driver, currently driving for Force India.",There have been six Formula One drivers from Mexico who have taken part in races since the championship began in 1950.,Pedro Rodríguez is the most successful Mexican driver being the only one to have won a grand prix.,"Sergio Pérez, the only other Mexican to finish on the podium, currently races with Sahara Force India F1 Team .","Eduardo Troconis (born in Veracruz, Veracruz) is a Mexican race car driver.",He is a two-time Mexican Formula Three International champion and a Rookie of the Year Award winner in the Indy Lights de las Americas and Formula Vee Series.,Troconis has also competed in the NASCAR Toyota Series and Desafío Corona Series.,,,,,,,,,,,,,,,,,,,,,,Pedro Rodríguez is the most successful Mexican driver being the only one to have won a grand prix.,"Sergio Pérez, the only other Mexican to finish on the podium, currently races with Sahara Force India F1 Team .","Sergio Pérez Mendoza (    ; born 26 January 1990) also known as ""Checo"" Pérez, is a Mexican racing driver, currently driving for Force India.",,
This singer of A Rather Blustery Day also voiced what hedgehog?,1,0.125,0.5,Sonic,Sonic,The singer of the song *A Rather Blustery Day* from *Winnie the Pooh* is [ANSWER_1].,,,,"Jim Cummings as ""Pooh""",,,,8,2,"""A Rather Blustery Day"" is a whimsical song from the Walt Disney musical film featurette, ""Winnie the Pooh and the Blustery Day"".","It was written by Robert & Richard Sherman and sung by Jim Cummings as ""Pooh"".","Winnie the Pooh and the Blustery Day is a 1968 animated featurette based on the third, fifth, ninth, and tenth chapters from ""Winnie-the-Pooh"" and the second, eighth, and ninth chapters from ""The House at Pooh Corner"" by A. A. Milne.","The featurette was produced by Walt Disney Productions and released by Buena Vista Distribution Company on December 20, 1968 as a double feature with ""The Horse in the Gray Flannel Suit"".",This was the second of the studio's Winnie the Pooh shorts.,"It was later added as a segment to the 1977 film ""The Many Adventures of Winnie the Pooh"".",The music was written by Richard M. Sherman and Robert B. Sherman.,"It was notable for being the last animated short produced by Walt Disney, who died during its production.",,,,,,,,,,,,,,,,,,,,,,,,"It was written by Robert & Richard Sherman and sung by Jim Cummings as ""Pooh"".","He is known for voicing the title character from ""Darkwing Duck"", Dr. Robotnik from ""Sonic the Hedgehog"", and Pete.",,,
"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?",0,0.2857,0.5,iPhone,keyboard function keys,The program the Apple Remote was originally designed to interact with is [ANSWER_1].,,,,Front Row media program,,,,7,4,The Apple Remote is a remote control device released in or after October 2005 by Apple Inc. for use with a number of its products which use infrared capabilities.,The device was originally designed to interact with the Front Row media program on the iSight iMac G5 and is compatible with some later desktop and portable Macintosh computers.,The first three generations of Apple TV used the Apple Remote as their primary control mechanism.,It has now been replaced with the Siri Remote in the fourth generation.,"Prior to the Apple Remote, Apple produced several nameless IR remotes for products such as the Macintosh TV, TV tuner expansion boards, and the PowerCD drive.","Apple Remote Desktop (ARD) is a Macintosh application produced by Apple Inc., first released on March 14, 2002, that replaced a similar product called ""Apple Network Assistant"".","Aimed at computer administrators responsible for large numbers of computers and teachers who need to assist individuals or perform group demonstrations, Apple Remote Desktop allows users to remotely control or monitor other computers over a network.",,,,,,,,,,,,,,,,,,,,,,,,,The Apple Remote is a remote control device released in or after October 2005 by Apple Inc. for use with a number of its products which use infrared capabilities.,The device was originally designed to interact with the Front Row media program on the iSight iMac G5 and is compatible with some later desktop and portable Macintosh computers.,"Front Row is a discontinued media center software application for Apple's Macintosh computers and Apple TV for navigating and viewing video, photos, podcasts, and music from a computer, optical disc, or the Internet through a 10-foot user interface (similar to Windows Media Center and Kodi).",The software relies on iTunes and iPhoto and is controlled by an Apple Remote or the keyboard function keys.,
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",0,0.1176,1.0,Cannot determine,Badly Drawn Boy,The typical number of live performance members in Badly Drawn Boy is [ANSWER_1].,The total number of distinct instruments played onstage by Badly Drawn Boy during a standard performance is [ANSWER_2].,The typical number of live performance members in Wolf Alice is [ANSWER_3].,The total number of distinct instruments played onstage by Wolf Alice during a standard performance is [ANSWER_4].,[Not mentioned],Not mentioned,four-piece,"""vocals, guitar, guitars, bass, drums""",17,2,"Damon Michael Gough (born 2 October 1969, in Dunstable, Bedfordshire), known by the stage name Badly Drawn Boy, is an English indie singer-songwriter and multi-instrumentalist.","The discography of English alternative music singer/songwriter Badly Drawn Boy (real name Damon Gough) includes eight studio albums (including two soundtracks), one compilation, six extended plays and twenty-one singles.","The first EP and several singles were released on Gough's own label ""Twisted Nerve"", which he started with like-minded Manchester musician Andy Votel.","Badly Drawn Boy rose in popularity in 1997 when he joined the likes of Thom Yorke, Richard Ashcroft, and Mike D on the celebrity-filled UNKLE album ""Psyence Fiction"".","Due to the mild UK chart success of the 1999 single ""Once Around the Block"", XL Recordings signed up Badly Drawn Boy to release the debut album ""The Hour of Bewilderbeast"" in 2000.",The album won critical praise and Britain's acclaimed Mercury Prize for Best Album.,"The album caught the attention of author Nick Hornby who then asked Gough to score the film being made for his book ""About a Boy"".","About a Boy is the second album by English singer-songwriter Badly Drawn Boy, released in 2002 under Twisted Nerve Records and XL Recordings, and in America under the short-lived ARTISTdirect Records, as the soundtrack to the film ""About a Boy"".",Gough was chosen to compose and perform the entire soundtrack.,"Wolf Alice are a four-piece alternative rock band from North London, formed initially as a two-person band in 2010.","Its members since 2012 are Ellie Rowsell (vocals, guitar), Joff Oddie (guitars, vocals), Theo Ellis (bass), and Joel Amey (drums, vocals).","The Hour of Bewilderbeast is the debut studio album by British musician Badly Drawn Boy, released on 26 June 2000.","Damon Gough, who performs as Badly Drawn Boy, wrote, produced, and played several instruments on the album's eighteen tracks, several of which also feature accompaniment by members of the British indie rock bands Alfie and Doves.","""The Hour of Bewilderbeast"" was released to great critical acclaim and went on to win the 2000 Mercury Prize, and has sold 455,000 copies in the United Kingdom as of September 2011.",Under an Hour is the second full-length album from Portland-based experimental pop/rock group Menomena.,The album was originally composed and performed as accompaniment for a performance by Portland dance company Monster Squad.,"Consisting of three instrumental tracks, the album is considered to be an experimental soundtrack along the lines of Peter Gabriel's or Badly Drawn Boy's soundtrack for ""About a Boy"".",,,,,,,,,,,,,,,"Damon Michael Gough (born 2 October 1969, in Dunstable, Bedfordshire), known by the stage name Badly Drawn Boy, is an English indie singer-songwriter and multi-instrumentalist.","Its members since 2012 are Ellie Rowsell (vocals, guitar), Joff Oddie (guitars, vocals), Theo Ellis (bass), and Joel Amey (drums, vocals).",,,
What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,1,0.4286,1.0,World's Best Goalkeeper,World's Best Goalkeeper,The father of Kasper Schmeichel is [ANSWER_1].,The title Peter Schmeichel was voted to receive by the IFFHS in 1992 is [ANSWER_2].,,,Peter Schmeichel,World's Best Goalkeeper,,,7,3,Kasper Peter Schmeichel (] ; born 5 November 1986) is a Danish professional footballer who plays as a goalkeeper for Premier League club Leicester City and the Denmark national team.,He is the son of former Manchester United and Danish international goalkeeper Peter Schmeichel.,"Peter Bolesław Schmeichel MBE (] ; born 18 November 1963) is a Danish former professional footballer who played as a goalkeeper, and was voted the IFFHS World's Best Goalkeeper in 1992 and 1993.","He is best remembered for his most successful years at English club Manchester United, whom he captained to the 1999 UEFA Champions League to complete the Treble, and for winning UEFA Euro 1992 with Denmark.",The IFFHS World's Best Goalkeeper is a football award given annually since 1987 to the most outstanding goalkeeper of the year as voted by the International Federation of Football History & Statistics (IFFHS).,The votes are cast by IFFHS's editorial staff as well as experts from different continents.,currently the worlds best goalkeeper from 2013-2016 is Manuel Neuer.,,,,,,,,,,,,,,,,,,,,,,,,,Kasper Peter Schmeichel (] ; born 5 November 1986) is a Danish professional footballer who plays as a goalkeeper for Premier League club Leicester City and the Denmark national team.,He is the son of former Manchester United and Danish international goalkeeper Peter Schmeichel.,"Peter Bolesław Schmeichel MBE (] ; born 18 November 1963) is a Danish former professional footballer who played as a goalkeeper, and was voted the IFFHS World's Best Goalkeeper in 1992 and 1993.",,
