question,correct,sp_precision,sp_recall,generated_answer,gold_answer,subquery_1,subquery_2,subquery_3,subquery_4,subquery_5,subanswer_1,subanswer_2,subanswer_3,subanswer_4,subanswer_5,num_retrieved,num_gold,retrieved_1,retrieved_2,retrieved_3,retrieved_4,retrieved_5,retrieved_6,retrieved_7,retrieved_8,retrieved_9,retrieved_10,retrieved_11,retrieved_12,retrieved_13,retrieved_14,retrieved_15,retrieved_16,retrieved_17,retrieved_18,retrieved_19,retrieved_20,retrieved_21,retrieved_22,retrieved_23,retrieved_24,retrieved_25,retrieved_26,retrieved_27,retrieved_28,retrieved_29,retrieved_30,retrieved_31,gold_1,gold_2,gold_3,gold_4,gold_5
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",1,0.2308,1.0,Kansas Song,Kansas Song,"What is the name of the university whose main campus is in Lawrence, Kansas? [ANSWER_1]",What is the name of the university whose branch campuses are in the Kansas City metropolitan area? [ANSWER_2],What is the name of the fight song of University of Kansas? [ANSWER_3],,,University of Kansas,University of Missouri–Kansas City,Kansas Song,,,13,3,"The University of Kansas, often referred to as KU or Kansas, is a public research university in the U.S. state of Kansas.","The main campus in Lawrence, one of the largest college towns in Kansas, is on Mount Oread, the highest elevation in Lawrence.","Two branch campuses are in the Kansas City metropolitan area: the Edwards Campus in Overland Park, and the university's medical school and hospital in Kansas City.","There are also educational and research sites in Parsons, Topeka, Garden City, Hays, and Leavenworth, and branches of the medical school in Wichita and Salina.",The university is one of the 62 members of the Association of American Universities.,The University of Missouri–Kansas City (UMKC) is a public research university serving the greater Kansas City metropolitan area.,"Located in Kansas City, Missouri, UMKC is one of four system campuses that collectively constitute the University of Missouri.","UMKC is spread across multiple locales; the main Volker Campus, home to the majority of university operations, is located in Kansas City's Rockhill neighborhood, east of the Country Club Plaza, and adjacent to both the Stowers Institute for Medical Research and the world-renowned Linda Hall Library.","In 2017 the University, in collaboration with Truman Medical Center, Children's Mercy Hospital, the Missouri Health Department, the Jackson County Medical Examiners Office, and the Missouri Department of Mental Health Behavioral Medicine, formed the UMKC Health Sciences District on Hospital Hill.","This district is a first-in-the-nation partnership between local and state governments, the university, and these nationally recognized healthcare faculties, designed to promote collaboration in research, innovation, education, grant funding, and community outreach, for the advancement of health and wellness in the greater Kansas City metropolitan area.","Also in 2017, the university announced plans to expand its metropolitan identity with the construction of a downtown Campus for the Arts, located near the Kauffman Center for the Performing Arts.","The university's enrollment as of 2015 exceeded more than 16,600 students.",Kansas Song (We’re From Kansas) is a fight song of the University of Kansas.,,,,,,,,,,,,,,,,,,,Kansas Song (We’re From Kansas) is a fight song of the University of Kansas.,"The main campus in Lawrence, one of the largest college towns in Kansas, is on Mount Oread, the highest elevation in Lawrence.","Two branch campuses are in the Kansas City metropolitan area: the Edwards Campus in Overland Park, and the university's medical school and hospital in Kansas City.",,
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",1,0.4286,1.0,David Diamond and David Weissman,David Weissman,"Who starred in the film ""Evolution""? [ANSWER_1]",What film did Nicolas Cage and Téa Leoni star in together? [ANSWER_2],Who co-wrote the screenplay for the film starring Nicolas Cage and Téa Leoni? [ANSWER_3],,,"Nicolas Cage, Angelina Jolie",The Family Man,David Diamond and David Weissman,,,7,3,David Weissman is a screenwriter and director.,"His film credits include ""The Family Man"" (2000), ""Evolution"" (2001), and """"When in Rome"""" (2010).","Gone in 60 Seconds is a 2000 American action heist film, starring Nicolas Cage, Angelina Jolie, Giovanni Ribisi, Christopher Eccleston, Robert Duvall, Vinnie Jones, and Will Patton.","The film was directed by Dominic Sena, written by Scott Rosenberg, and produced by Jerry Bruckheimer, producer of ""The Rock"" and ""Con Air"" (both of which starred Cage) and ""Armageddon"" (which starred Patton), and is a loose remake of the 1974 H.B. Halicki film of the same name.","The Family Man is a 2000 American romantic comedy-drama film directed by Brett Ratner, written by David Diamond and David Weissman, and starring Nicolas Cage and Téa Leoni.","Cage's production company, Saturn Films, helped produce the film.",The film centers on a man who sees what could have been had he made a different decision 13 years prior.,,,,,,,,,,,,,,,,,,,,,,,,,David Weissman is a screenwriter and director.,"His film credits include ""The Family Man"" (2000), ""Evolution"" (2001), and """"When in Rome"""" (2010).","The Family Man is a 2000 American romantic comedy-drama film directed by Brett Ratner, written by David Diamond and David Weissman, and starring Nicolas Cage and Téa Leoni.",,
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,0,0.0968,1.0,1993,1999,What year did Guns N Roses perform? [ANSWER_1],What movie did Guns N Roses perform a promo for? [ANSWER_2],Who starred in the movie as a former New York Police detective? [ANSWER_3],What year did Arnold Schwarzenegger star in the movie? [ANSWER_4],,1987,End of Days,Arnold Schwarzenegger,1993,,31,3,"Guns N' Roses is an American hard rock band formed in Los Angeles, California in 1985 by members of Hollywood Rose and L.A. Guns.","The band has released six studio albums, two live albums, two compilation albums, two extended plays, seven video albums, eighteen singles, twenty four music videos and one video single.","Guns N' Roses signed a deal with Geffen Records in 1986, after the independently released EP ""Live ?!","*@ Like a Suicide"" a year before.","Its debut studio album ""Appetite for Destruction"" was released in 1987, reached the top of the ""Billboard"" 200 and sold 18 million units in the United States and approximately 33 million units worldwide.","Steven Adler (born Michael Coletti; January 22, 1965) is an American musician.","He is best known as the former drummer and co-songwriter of the hard rock band Guns N' Roses, with whom he achieved worldwide success in the late 1980s.","Adler was fired from Guns N' Roses over his heroin addiction in 1990, following which he reformed his old band Road Crew and briefly joined BulletBoys, which both proved unsuccessful.","During the 2000s, Adler was the drummer of the band Adler's Appetite, and from 2012, he had held the same position in the band Adler.","In early 2017, Steven Adler declared that he has no intention to continue with the band, and that the band has now dissolved, and the reason is his lack of interest in performing during poorly attended concerts.","He appeared on the second and fifth seasons of the reality TV show ""Celebrity Rehab with Dr. Drew"", as well as on the first season of its spin-off ""Sober House"".",He was inducted into the Rock and Roll Hall of Fame in 2012 as a member of Guns N' Roses.,"""Oh My God"" is a song by Guns N' Roses released in 1999 on the soundtrack to the film ""End of Days"".",The song was sent out to radio stations in November 1999 as a promo for the soundtrack and the band.,"Despite being the band's first recorded release in almost five years, it was never issued as a stand-alone single for public retail.",Get Christie Love!,is a 1974 made-for-television film and subsequent crime drama TV series starring Teresa Graves as an undercover female police detective who is determined to overthrow a drug ring.,"This film is based on Dorothy Uhnak's crime-thriller novel ""The Ledger"".","However, the main character ""Christie Opara""—a white, New York Police detective—was dropped completely and ""Christie Love"" emerged.","End of Days is a 1999 American fantasy action horror thriller film directed by Peter Hyams and starring Arnold Schwarzenegger, Gabriel Byrne, Robin Tunney, Kevin Pollak, Rod Steiger, CCH Pounder, and Udo Kier.","The film follows former New York Police Department detective Jericho Cane (Schwarzenegger) after he saves a banker (Byrne) from an assassin, finds himself embroiled in a religious conflict, and must protect an innocent young woman (Tunney) who is chosen by evil forces to conceive the Antichrist with Satan.","Arnold Schwarzenegger is an actor who has appeared in over 30 films, and has also ventured into directing and producing.",He began his acting career primarily with small roles in film and television.,"For his first film role, he was credited as ""Arnold Strong"", but was credited with his birth name thereafter.","He has appeared mainly in action, and comedy films.","In addition to films and television, he has appeared in music videos for AC/DC, Bon Jovi, and Guns N' Roses.",Last Action Hero is a 1993 American fantasy action comedy film directed and produced by John McTiernan.,"It is a satire of the action genre and associated clichés, containing several parodies of action films in the form of films within the film.","The film stars Arnold Schwarzenegger as Jack Slater, a Los Angeles police detective within the ""Jack Slater"" action film franchise.","Austin O'Brien co-stars as a boy magically transported into the ""Slater"" universe.","Schwarzenegger also served as the film's executive producer and plays himself as the actor portraying Jack Slater, and Charles Dance plays an assassin who escapes from the ""Slater"" world into the real world.","""Oh My God"" is a song by Guns N' Roses released in 1999 on the soundtrack to the film ""End of Days"".",The song was sent out to radio stations in November 1999 as a promo for the soundtrack and the band.,"The film follows former New York Police Department detective Jericho Cane (Schwarzenegger) after he saves a banker (Byrne) from an assassin, finds himself embroiled in a religious conflict, and must protect an innocent young woman (Tunney) who is chosen by evil forces to conceive the Antichrist with Satan.",,
Are Random House Tower and 888 7th Avenue both used for real estate?,0,0.1538,1.0,Yes,no,Is Random House Tower used for real estate? [ANSWER_1],Is 888 7th Avenue used for real estate? [ANSWER_2],,,,Yes,Yes,,,,13,2,"The Random House Tower, also known as the Park Imperial Apartments, is a 52-story mixed-use tower in New York City, United States, that is used as the headquarters of book publisher Random House and a luxury apartment complex.","The book publisher entrance is on Broadway and goes up to 27 floors, while the apartment complex entrance is on West 56th Street.","Real Estate Technology or Property Technology, often referred to as (""RE Tech"") or (""Proptech""), is an economic industry composed of companies which use technology to make real estate transactions more efficient.",Real estate technology is a sub-category under financial technology as real estate is an asset class which represents a significant investment.,"Besides for own stay, there are investors who generate income and capital gains by investing in different categories of Real Estate properties over time - They are broadly residential, commercial and industrial.","Historically used as a more tactical investment or for providing portfolio alpha, real estate has been used as part of a long-term core strategy due to increased market efficiency and increasing concerns about the future long-term variability of stock and bond returns.","In fact, real estate is known for its ability to serve as a portfolio diversifier and inflation hedge.",888 7th Avenue is a 628 ft (191m) tall modern-style office skyscraper in Midtown Manhattan which was completed in 1969 and has 46 floors.,"Emery Roth & Sons designed the building, which is tied with Central Park Place for the 65th tallest building in New York City.",It currently carries the Vornado Realty Trust corporate headquarters.,"Previously known as the Arlen Building, its namesake being the company responsible for its construction, Arlen Realty & Development Corporation.",The Red Eye Grill is located in the building at street level.,"Pershing Square Capital Management is an American hedge fund management company founded and run by Bill Ackman, located at 888 7th Avenue in New York.",,,,,,,,,,,,,,,,,,,"The Random House Tower, also known as the Park Imperial Apartments, is a 52-story mixed-use tower in New York City, United States, that is used as the headquarters of book publisher Random House and a luxury apartment complex.",It currently carries the Vornado Realty Trust corporate headquarters.,,,
The football manager who recruited David Beckham managed Manchester United during what timeframe?,1,0.2143,1.0,1986 to 2013,from 1986 to 2013,Who was the football manager who recruited David Beckham? [ANSWER_1],What team did David Beckham play for during his time at Manchester United? [ANSWER_2],During which timeframe did Alex Ferguson manage Manchester United? [ANSWER_3],,,Alex Ferguson,Manchester United,1986 to 2013,,,14,3,"Sir Alexander Chapman Ferguson, CBE (born 31 December 1941) is a Scottish former football manager and player who managed Manchester United from 1986 to 2013.","He is regarded by many players, managers and analysts to be one of the greatest and most successful managers of all time.",The David Beckham Academy was a football school founded by England international David Beckham in 2005.,"In 2009 it operated in two locations: in London, United Kingdom, and in Los Angeles, California, United States.","The academy pulled out of the London site at the end of the lease in October 2009, and the California branch closed soon after.","The 1995–96 season was Manchester United's fourth season in the Premier League, and their 21st consecutive season in the top division of English football.",United finished the season by becoming the first English team to win the Double (league title and FA Cup) twice.,"Their triumph was made all the more remarkable by the fact that Alex Ferguson had sold experienced players Paul Ince, Mark Hughes and Andrei Kanchelskis before the start of the season, and not made any major signings.","Instead, he had drafted in young players like Nicky Butt, David Beckham, Paul Scholes and the Neville brothers, Gary and Phil.","The Class of '92 is a 2013 British documentary film, released on 1 December 2013.","The film centres on the rise of six young Manchester United footballers – David Beckham, Nicky Butt, Ryan Giggs, Gary Neville, Phil Neville and Paul Scholes – and details their careers for Manchester United starting in 1992.","Sir Alexander Matthew Busby, CBE, KCSG (26 May 1909 – 20 January 1994) was a Scottish football player and manager, who managed Manchester United between 1945 and 1969 and again for the second half of the 1970–71 season.",He is widely regarded as one of the greatest managers of all time.,His managerial records and longevity at the helm of Manchester United are surpassed only by Sir Alex Ferguson.,,,,,,,,,,,,,,,,,,"Their triumph was made all the more remarkable by the fact that Alex Ferguson had sold experienced players Paul Ince, Mark Hughes and Andrei Kanchelskis before the start of the season, and not made any major signings.","Instead, he had drafted in young players like Nicky Butt, David Beckham, Paul Scholes and the Neville brothers, Gary and Phil.","Sir Alexander Chapman Ferguson, CBE (born 31 December 1941) is a Scottish former football manager and player who managed Manchester United from 1986 to 2013.",,
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,0,0.1667,1.0,United States,"9,984",What is the name of the country where Brown State Fishing Lake is located? [ANSWER_1],How many inhabitants does the country where Brown State Fishing Lake is located have? [ANSWER_2],,,,United States,"9,984",,,,12,2,"Brown State Fishing Lake (sometimes also known as Brown State Fishing Lake And Wildlife Area) is a protected area in Brown County, Kansas in the United States.",The lake is 62 acres (0.25 km²) in area and up to 13 feet (4 m) deep.,"The area was formerly known as Brown County State Park, and is 8 miles (13 km) east of Hiawatha, Kansas.",Fishing Lake is a lake in the Canadian province of Saskatchewan.,"The lake is located between highway 5 and highway 16, 22 km north of the town of Foam Lake, Saskatchewan, and 24 km east of the town of Wadena, Saskatchewan.","The lake does not have an effective outlet channel, and so is prone to flooding.",Record floods in 2007 resulted in a plan by the Government of Saskatchewan to lower the level of the lake by digging a drainage channel.,"The Fishing Lake First Nation opposed this plan, and instead flood control berms were constructed.",Brown County (county code BR) is a county located in the northeast portion of the U.S. state of Kansas.,"As of the 2010 census, the county population was 9,984.",Its county seat and most populous city is Hiawatha.,"Brown County is the location of the Kickapoo Indian Reservation of Kansas, the majority of the Sac and Fox Reservation and the majority of the Iowa Reservation of Kansas and Nebraska.",,,,,,,,,,,,,,,,,,,,"Brown State Fishing Lake (sometimes also known as Brown State Fishing Lake And Wildlife Area) is a protected area in Brown County, Kansas in the United States.","As of the 2010 census, the county population was 9,984.",,,
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,1,0.25,1.0,North Atlantic Conference,the North Atlantic Conference,What conference does the Vermont Catamounts men's soccer team currently compete in? [ANSWER_1],When was the conference formerly known as? [ANSWER_2],What was the name of the conference from 1988 to 1996? [ANSWER_3],,,America East Conference,1979 to 1988,North Atlantic Conference,,,12,3,The Vermont Catamounts men's soccer team represents the University of Vermont in all NCAA Division I men's college soccer competitions.,The team competes in the America East Conference.,"The Vermont Catamounts Basketball team is the basketball team that represents the University of Vermont in Burlington, Vermont.",The school's team currently competes in the America East Conference and plays its home games at Patrick Gym.,"The team has reached the NCAA Division I Men's Basketball Tournament six times, in 2003, 2004, 2005, 2010, 2012, and 2017.",UVM famously upset Syracuse University in the first round of the 2005 tournament.,The Catamounts are coached by John Becker.,"The America East Conference is a collegiate athletic conference affiliated with the NCAA Division I, whose members are located mainly in the Northeastern United States.",The conference was known as the Eastern College Athletic Conference-North from 1979 to 1988 and the North Atlantic Conference from 1988 to 1996.,The 2010–11 Vermont Catamounts men's basketball team represented the University of Vermont in the 2010–11 NCAA Division I men's basketball season.,The Catamounts won their third consecutive America East Conference regular season Championship but lost in the semifinals of the conference tournament to Stony Brook.,"The Catamounts got invited to the National Invitation Tournament but lost in the first round to Cleveland State, 63–60.",,,,,,,,,,,,,,,,,,,,The Vermont Catamounts men's soccer team represents the University of Vermont in all NCAA Division I men's college soccer competitions.,The team competes in the America East Conference.,The conference was known as the Eastern College Athletic Conference-North from 1979 to 1988 and the North Atlantic Conference from 1988 to 1996.,,
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,1,0.2222,1.0,Yes,yes,Who are Giuseppe Verdi and Ambroise Thomas? [ANSWER_1],What genre of music do they compose? [ANSWER_2],Are they both opera composers? [ANSWER_3],,,"Italian and French opera composers, respectively.",Opera,Yes,,,9,2,Giuseppe Fortunino Francesco Verdi (] ; 9 or 10 October 1813 – 27 January 1901) was an Italian opera composer.,"Charles Louis Ambroise Thomas (5 August 1811 – 12 February 1896) was a French composer, best known for his operas ""Mignon"" (1866) and ""Hamlet"" (1868, after Shakespeare) and as Director of the Conservatoire de Paris from 1871 till his death.","This list provides a guide to opera composers, as determined by their presence on a majority of compiled lists of significant opera composers.","(See the ""Lists Consulted"" section for full details.)","The composers run from Jacopo Peri, who wrote the first ever opera in late 16th century Italy, to John Adams, one of the leading figures in the contemporary operatic world.",The brief accompanying notes offer an explanation as to why each composer has been considered major.,"Also included is a section about major women opera composers, compiled from the same lists.","For an introduction to operatic history, see opera.",The organisation of the list is by birthdate.,,,,,,,,,,,,,,,,,,,,,,,Giuseppe Fortunino Francesco Verdi (] ; 9 or 10 October 1813 – 27 January 1901) was an Italian opera composer.,"Charles Louis Ambroise Thomas (5 August 1811 – 12 February 1896) was a French composer, best known for his operas ""Mignon"" (1866) and ""Hamlet"" (1868, after Shakespeare) and as Director of the Conservatoire de Paris from 1871 till his death.",,,
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1,0.1667,1.0,1969 to 1974,1969 until 1974,Who was Roger O. Egeberg? [ANSWER_1],What was Roger O. Egeberg's position? [ANSWER_2],During which president's administration did Roger O. Egeberg hold this position? [ANSWER_3],What years did this president serve? [ANSWER_4],,"American medical educator, administrator, and advocate of public health.","Medical educator, administrator, advocate of public health, General Douglas MacArthur's personal physician, Assistant Secretary for Health and Scientific Affairs, Dean of the University of Southern California's medical school.",Nixon,1969 to 1974,,12,2,"Roger Olaf Egeberg, M.D. (13 November 1902 – 13 September 1997 Washington, D.C.) was an American medical educator, administrator and advocate of public health.",He was General Douglas MacArthur's personal physician during World War II in the Pacific theater.,"His other roles included Assistant Secretary for Health and Scientific Affairs in the Department of Health, Education, and Welfare (now the United States Department of Health and Human Services) during the Nixon administration and Dean of the University of Southern California's medical school.","Richard Milhous Nixon (January 9, 1913 – April 22, 1994) was the 37th President of the United States from 1969 until 1974, when he resigned from office, the only U.S. president to do so.","He had previously served as the 36th Vice President of the United States from 1953 to 1961, and prior to that as a U.S. Representative and also Senator from California.","Bradford P. Campbell was the Assistant Secretary for Employee Benefits Security of the United States Department of Labor (DOL), the official in charge of the Employee Benefits Security Administration (EBSA).","Mr. Campbell was nominated by President George W. Bush as Assistant Secretary on May 3, 2007, and was unanimously confirmed by the United States Senate on August 3, 2007.","He held the position until January 20, 2009.","Prior to his confirmation as Assistant Secretary, Mr. Campbell had served as Acting Assistant Secretary since October 30, 2006 and as EBSA's Deputy Assistant Secretary for Policy since March 5, 2004.","Douglas Joseph “Doug” Bennet, Jr. (born June 23, 1938) is a former national political official and college president.","He was the fifteenth president of Wesleyan University, in Middletown, Connecticut, from 1995 to 2007.","Before that, he served as Assistant Secretary of State for International Organization Affairs in the Clinton Administration (1993–95) and Assistant Secretary of State for Legislative Affairs in the Carter administration (1977–79), was the President and CEO of National Public Radio (1983–93), and ran the U.S. Agency for International Development under President Carter (1979–81).",,,,,,,,,,,,,,,,,,,,"His other roles included Assistant Secretary for Health and Scientific Affairs in the Department of Health, Education, and Welfare (now the United States Department of Health and Human Services) during the Nixon administration and Dean of the University of Southern California's medical school.","Richard Milhous Nixon (January 9, 1913 – April 22, 1994) was the 37th President of the United States from 1969 until 1974, when he resigned from office, the only U.S. president to do so.",,,
"Which writer was from England, Henry Roth or Robert Erskine Childers?",1,0.2857,1.0,Robert Erskine Childers,Robert Erskine Childers DSC,Who was Henry Roth? [ANSWER_1],Who was Robert Erskine Childers? [ANSWER_2],Which writer was from England? [ANSWER_3],,,American novelist and short story writer.,British writer and Fenian revolutionary,Erskine Childers,,,7,2,"Henry Roth (February 8, 1906 – October 13, 1995) was an American novelist and short story writer.","Robert Caesar Childers (1838 – 25 July 1876) was a British Orientalist scholar, compiler of the first Pāli-English dictionary.",Childers was the husband of Anna Barton of Ireland.,"He was the father of Irish nationalist Robert Erskine Childers and grandfather to the fourth President of Ireland, Erskine Hamilton Childers.","Robert Erskine Childers DSC (25 June 1870 – 24 November 1922), universally known as Erskine Childers, was a British writer, whose works included the influential novel ""The Riddle of the Sands"", and a Fenian revolutionary who smuggled guns to Ireland in his sailing yacht ""Asgard"".",He was executed by the authorities of the nascent Irish Free State during the Irish Civil War.,"He was the son of British Orientalist scholar Robert Caesar Childers; the cousin of Hugh Childers and Robert Barton; and the father of the fourth President of Ireland, Erskine Hamilton Childers.",,,,,,,,,,,,,,,,,,,,,,,,,"Henry Roth (February 8, 1906 – October 13, 1995) was an American novelist and short story writer.","Robert Erskine Childers DSC (25 June 1870 – 24 November 1922), universally known as Erskine Childers, was a British writer, whose works included the influential novel ""The Riddle of the Sands"", and a Fenian revolutionary who smuggled guns to Ireland in his sailing yacht ""Asgard"".",,,
Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,1,0.3,1.0,Pedro Rodríguez,Pedro Rodríguez,**Who has held the podium besides the Force India driver born in 1990?** [ANSWER_1],This question is asking for a specific driver who has won races besides the one born in 1990 who drives for Force India. We need to identify this driver first.,**What is the name of the driver who has held the podium besides the Force India driver born in 1990?** Pedro Rodríguez,"Once we have identified the driver who has held the podium besides the Force India driver born in 1990, we can answer this question.",**Where is this driver from?** Pedro Rodríguez,Sergio Pérez,Pedro Rodríguez,Pedro Rodríguez,Sergio Pérez,Mexico,10,3,There have been six Formula One drivers from Mexico who have taken part in races since the championship began in 1950.,Pedro Rodríguez is the most successful Mexican driver being the only one to have won a grand prix.,"Sergio Pérez, the only other Mexican to finish on the podium, currently races with Sahara Force India F1 Team .","The Force India VJM04 is a Formula One racing car developed by Force India for the 2011 Formula One season, the fourth car the team has made since entering the sport in 2008.",The car was driven by long-time Force India driver Adrian Sutil and 2010 Deutsche Tourenwagen Masters champion Paul di Resta.,The car was launched online on 8 February 2011.,"Sergio Pérez Mendoza (    ; born 26 January 1990) also known as ""Checo"" Pérez, is a Mexican racing driver, currently driving for Force India.","Eduardo Troconis (born in Veracruz, Veracruz) is a Mexican race car driver.",He is a two-time Mexican Formula Three International champion and a Rookie of the Year Award winner in the Indy Lights de las Americas and Formula Vee Series.,Troconis has also competed in the NASCAR Toyota Series and Desafío Corona Series.,,,,,,,,,,,,,,,,,,,,,,Pedro Rodríguez is the most successful Mexican driver being the only one to have won a grand prix.,"Sergio Pérez, the only other Mexican to finish on the podium, currently races with Sahara Force India F1 Team .","Sergio Pérez Mendoza (    ; born 26 January 1990) also known as ""Checo"" Pérez, is a Mexican racing driver, currently driving for Force India.",,
This singer of A Rather Blustery Day also voiced what hedgehog?,1,0.1176,1.0,Sonic the Hedgehog,Sonic,"Who is the singer of ""A Rather Blustery Day""? [ANSWER_1]",What is the name of the hedgehog that the singer voiced? [ANSWER_2],,,,Jim Cummings,Sonic the Hedgehog,,,,17,2,"""A Rather Blustery Day"" is a whimsical song from the Walt Disney musical film featurette, ""Winnie the Pooh and the Blustery Day"".","It was written by Robert & Richard Sherman and sung by Jim Cummings as ""Pooh"".","""The Rain Rain Rain Came Down Down Down"" is a narrative song from the Walt Disney musical film featurette, ""Winnie the Pooh and the Blustery Day"".","The song is also incorporated into the 1977 musical film ""The Many Adventures of Winnie the Pooh"" which is an amalgamation of three Winnie-the-Pooh featurettes including ""Blustery Day"".",The song was written by the Sherman Brothers who have written most of the music for the Winnie-the-Pooh franchise over the many years.,It was sung by an unidentified off-screen chorus with occasional lines sung by veteran character actor Sterling Holloway who provided the voice of Pooh.,"James Jonah Cummings (born November 3, 1952) is an American voice actor and singer, who has appeared in almost 400 roles.","He is known for voicing the title character from ""Darkwing Duck"", Dr. Robotnik from ""Sonic the Hedgehog"", and Pete.","His other characters include Winnie the Pooh, Tigger, and the Tasmanian Devil.","He has performed in numerous Disney and DreamWorks animations including ""Aladdin"", ""The Lion King"", ""Balto"", ""Antz"", ""The Road to El Dorado"", ""Shrek"", and ""The Princess and the Frog"".","He has also provided voice-over work for video games, such as ""Icewind Dale"", ""Fallout"", """", ""Baldur's Gate"", ""Mass Effect 2"", """", """", """", and ""Splatterhouse"".","Catherine Davis ""Kate"" Higgins (born August 16, 1969 in Charlottesville, Virginia, U.S.), also known as Kate Davis, is an American voice actress, singer and jazz pianist.","Her major voice roles have been in English-language adaptations of Japanese anime, and is best known as the voice of Sakura Haruno in ""Naruto"".","She has also voiced C.C. in ""Code Geass"" and Saber in the original ""Fate/stay Night"".","In 2010, she voiced Miles ""Tails"" Prower in the video game series ""Sonic the Hedgehog"".","She also voices Kate, Stinky and Lilly in the ""Alpha and Omega"" sequels.","In 2014, She became the voice of Ami Mizuno / Sailor Mercury in the Viz English dub of ""Sailor Moon"".",,,,,,,,,,,,,,,"It was written by Robert & Richard Sherman and sung by Jim Cummings as ""Pooh"".","He is known for voicing the title character from ""Darkwing Duck"", Dr. Robotnik from ""Sonic the Hedgehog"", and Pete.",,,
"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?",0,0.25,0.5,iSight iMac G5,keyboard function keys,What is the original purpose of Apple Remote? [ANSWER_1],What other device can control the program Apple Remote was originally designed to interact with? [ANSWER_2],,,,interacting with the Front Row media program on the iSight iMac G5,iSight iMac G5,,,,8,4,The Apple Remote is a remote control device released in or after October 2005 by Apple Inc. for use with a number of its products which use infrared capabilities.,The device was originally designed to interact with the Front Row media program on the iSight iMac G5 and is compatible with some later desktop and portable Macintosh computers.,The first three generations of Apple TV used the Apple Remote as their primary control mechanism.,It has now been replaced with the Siri Remote in the fourth generation.,"Prior to the Apple Remote, Apple produced several nameless IR remotes for products such as the Macintosh TV, TV tuner expansion boards, and the PowerCD drive.","The Siri Remote is a remote control device released in tandem with the 4th Generation Apple TV at an Apple Keynote Address by CEO Tim Cook on October 26, 2015 by Apple Inc. The Remote is designed specifically to work with the always-on Siri capable Apple TV.",The device is a successor of the original Apple Remote.,It is also compatible with the Apple TV 4K.,,,,,,,,,,,,,,,,,,,,,,,,The Apple Remote is a remote control device released in or after October 2005 by Apple Inc. for use with a number of its products which use infrared capabilities.,The device was originally designed to interact with the Front Row media program on the iSight iMac G5 and is compatible with some later desktop and portable Macintosh computers.,"Front Row is a discontinued media center software application for Apple's Macintosh computers and Apple TV for navigating and viewing video, photos, podcasts, and music from a computer, optical disc, or the Internet through a 10-foot user interface (similar to Windows Media Center and Kodi).",The software relies on iTunes and iPhoto and is controlled by an Apple Remote or the keyboard function keys.,
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",1,0.2222,1.0,Badly Drawn Boy,Badly Drawn Boy,Identify the two performance acts: Badly Drawn Boy and Wolf Alice.,Determine which act has more instruments: Badly Drawn Boy or Wolf Alice.,Compare the number of instruments to the number of performers to find the act with the higher ratio.,,,"Badly Drawn Boy, Wolf Alice",Badly Drawn Boy,"Menomena: 3 instruments, 4 performers",,,9,2,"Damon Michael Gough (born 2 October 1969, in Dunstable, Bedfordshire), known by the stage name Badly Drawn Boy, is an English indie singer-songwriter and multi-instrumentalist.","The Hour of Bewilderbeast is the debut studio album by British musician Badly Drawn Boy, released on 26 June 2000.","Damon Gough, who performs as Badly Drawn Boy, wrote, produced, and played several instruments on the album's eighteen tracks, several of which also feature accompaniment by members of the British indie rock bands Alfie and Doves.","""The Hour of Bewilderbeast"" was released to great critical acclaim and went on to win the 2000 Mercury Prize, and has sold 455,000 copies in the United Kingdom as of September 2011.","Wolf Alice are a four-piece alternative rock band from North London, formed initially as a two-person band in 2010.","Its members since 2012 are Ellie Rowsell (vocals, guitar), Joff Oddie (guitars, vocals), Theo Ellis (bass), and Joel Amey (drums, vocals).",Under an Hour is the second full-length album from Portland-based experimental pop/rock group Menomena.,The album was originally composed and performed as accompaniment for a performance by Portland dance company Monster Squad.,"Consisting of three instrumental tracks, the album is considered to be an experimental soundtrack along the lines of Peter Gabriel's or Badly Drawn Boy's soundtrack for ""About a Boy"".",,,,,,,,,,,,,,,,,,,,,,,"Damon Michael Gough (born 2 October 1969, in Dunstable, Bedfordshire), known by the stage name Badly Drawn Boy, is an English indie singer-songwriter and multi-instrumentalist.","Its members since 2012 are Ellie Rowsell (vocals, guitar), Joff Oddie (guitars, vocals), Theo Ellis (bass), and Joel Amey (drums, vocals).",,,
